component_id,component_type,package_path,manifest_path,integrity_readback_before_node_execution,runtime_contract_complete,k_app_files_complete,shipping_state,target_gate_state,overall_runtime_state,capabilities,fallback_adapter,reason
kex.workstation.core,APPLICATION,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/kex_workstation_core,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/kex_workstation_core/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,workstation_shell;application_catalog;runtime_projection,adapter.static-local-launcher,integrity_readback_passed
agent_static_guard,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_static_guard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_static_guard/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,agent_static_guard;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
secret_boundary_guard,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/secret_boundary_guard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/secret_boundary_guard/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,secret_boundary_guard;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
zero_heap_compiler,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/zero_heap_compiler,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/zero_heap_compiler/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,zero_heap_compiler;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
peer_ack_verifier,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/peer_ack_verifier,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/peer_ack_verifier/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,peer_ack_verifier;virtual_cpu,adapter.local-peer-ack-outbox,integrity_readback_passed
hyper_explicit_mesh_runtime,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/hyper_explicit_mesh_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/hyper_explicit_mesh_runtime/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,hyper_explicit_mesh_runtime;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
hemos_family_of_five_runtime,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/hemos_family_of_five_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/hemos_family_of_five_runtime/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,hemos_family_of_five_runtime;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
indefinite_network_runtime,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/indefinite_network_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/indefinite_network_runtime/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,indefinite_network_runtime;virtual_cpu_network_adapter,adapter.local-static-applet,integrity_readback_passed
safe_asset_receipt_pipeline,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/safe_asset_receipt_pipeline,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/safe_asset_receipt_pipeline/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,safe_asset_receipt_pipeline;virtual_cpu_volume_adapter,adapter.local-static-applet,integrity_readback_passed
virtual_gpu_hci_dashboard,APPLICATION,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/virtual_gpu_hci_dashboard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/virtual_gpu_hci_dashboard/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,virtual_gpu_hci_dashboard;virtual_gpu,adapter.canvas-cpu-renderer,integrity_readback_passed
vfs_volume_custody,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/vfs_volume_custody,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/vfs_volume_custody/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,vfs_volume_custody;vfs,adapter.local-static-applet,integrity_readback_passed
