item_id,previous_state,assigned_service,resolution_state
drive_raw_zip_upload,ORPHANED,vfs_volume_custody,PROVIDER_REQUIRED
simb_provider_execution,ORPHANED,peer_ack_verifier,PROVIDER_REQUIRED
remote_attestation,ORPHANED,peer_ack_verifier,PROVIDER_REQUIRED
public_dns_web4_route,ORPHANED,indefinite_network_runtime,TARGET_HOST_REQUIRED
kernel_vfs_block_mount,ORPHANED,vfs_volume_custody,TARGET_HOST_REQUIRED
launchd_supervision,ORPHANED,host_bootstrap_supervisor,TARGET_HOST_REQUIRED
m3_iostat_throughput_receipt,ORPHANED,safe_asset_receipt_pipeline,TARGET_HOST_REQUIRED
virtual_gpu_framebuffer_receipt,ORPHANED,virtual_gpu_hci_dashboard,TARGET_HOST_REQUIRED
rust_no_std_compile,ORPHANED,zero_heap_compiler,TARGET_HOST_REQUIRED
misra_do178c_certification,ORPHANED,compliance_pack,EXTERNAL_CERTIFICATION_REQUIRED
