from,relation,to
word://run,used_in_expression,expression://run-kapp-on-eligible-node
word://health,used_in_expression,expression://observe-node-health
word://health,backlinked_service,service://health_state_monitor
word://agent,used_in_expression,expression://instantiate-governed-agent-worker
word://agent,backlinked_service,service://agent_registry_service
word://agent,backlinked_service,service://agent_runtime_service
word://agent,backlinked_service,service://agent_static_guard
word://agent,backlinked_service,service://current_state_surface_auditor
word://service,used_in_expression,expression://instantiate-governed-agent-worker
word://service,used_in_expression,expression://reconcile-deferred-work-after-dependency-recovery
word://service,backlinked_service,service://btc_core_protocol_router
word://service,backlinked_service,service://evidence_context_resolver
word://service,backlinked_service,service://four_plane_context_framework
word://service,backlinked_service,service://hemos_family_of_five_runtime
word://service,backlinked_service,service://hyper_explicit_mesh_runtime
word://service,backlinked_service,service://indefinite_network_runtime
word://service,backlinked_service,service://orphan_service_reconciler
word://service,backlinked_service,service://peer_ack_verifier
word://service,backlinked_service,service://secret_boundary_guard
word://service,backlinked_service,service://test_runner
word://service,backlinked_service,service://vfs_volume_custody
word://service,backlinked_service,service://virtual_gpu_hci_dashboard
word://service,backlinked_service,service://zero_heap_compiler
word://deploy,used_in_expression,expression://run-kapp-on-eligible-node
word://deploy,used_in_expression,expression://verify-manifest-before-node-execution
word://deploy,backlinked_service,service://deployment_maturity_workplan
word://deploy,backlinked_service,service://k_cloud_adapter
word://deploy,backlinked_service,service://mirror_update_lane
word://deploy,backlinked_service,service://software_design_deployment_workflow
word://verify,used_in_expression,expression://verify-manifest-before-node-execution
word://verify,used_in_expression,expression://instantiate-governed-agent-worker
word://verify,used_in_expression,expression://reconcile-deferred-work-after-dependency-recovery
word://verify,backlinked_service,service://safe_asset_receipt_pipeline
word://verify,backlinked_service,service://semantic_knowledge_graph
word://verify,backlinked_service,service://task_milestone_monitor
word://verify,backlinked_service,service://workflow_schema_guard
word://recover,used_in_expression,expression://reconcile-deferred-work-after-dependency-recovery
word://recover,backlinked_service,service://application_applet_packager
word://recover,backlinked_service,service://dependency_failure_orchestrator
word://recover,backlinked_service,service://failure_ledger
word://node,used_in_expression,expression://run-kapp-on-eligible-node
word://node,used_in_expression,expression://verify-manifest-before-node-execution
word://node,used_in_expression,expression://observe-node-health
expression://run-kapp-on-eligible-node,bound_to_service,service://deployment_maturity_workplan
expression://run-kapp-on-eligible-node,bound_to_service,service://k_cloud_adapter
expression://run-kapp-on-eligible-node,bound_to_service,service://mirror_update_lane
expression://run-kapp-on-eligible-node,bound_to_service,service://software_design_deployment_workflow
expression://verify-manifest-before-node-execution,bound_to_service,service://btc_core_protocol_router
expression://verify-manifest-before-node-execution,bound_to_service,service://evidence_context_resolver
expression://verify-manifest-before-node-execution,bound_to_service,service://four_plane_context_framework
expression://verify-manifest-before-node-execution,bound_to_service,service://hemos_family_of_five_runtime
expression://verify-manifest-before-node-execution,bound_to_service,service://hyper_explicit_mesh_runtime
expression://verify-manifest-before-node-execution,bound_to_service,service://indefinite_network_runtime
expression://verify-manifest-before-node-execution,bound_to_service,service://orphan_service_reconciler
expression://verify-manifest-before-node-execution,bound_to_service,service://peer_ack_verifier
expression://verify-manifest-before-node-execution,bound_to_service,service://safe_asset_receipt_pipeline
expression://verify-manifest-before-node-execution,bound_to_service,service://secret_boundary_guard
expression://verify-manifest-before-node-execution,bound_to_service,service://semantic_knowledge_graph
expression://verify-manifest-before-node-execution,bound_to_service,service://task_milestone_monitor
expression://verify-manifest-before-node-execution,bound_to_service,service://test_runner
expression://verify-manifest-before-node-execution,bound_to_service,service://vfs_volume_custody
expression://verify-manifest-before-node-execution,bound_to_service,service://virtual_gpu_hci_dashboard
expression://verify-manifest-before-node-execution,bound_to_service,service://workflow_schema_guard
expression://verify-manifest-before-node-execution,bound_to_service,service://zero_heap_compiler
expression://observe-node-health,bound_to_service,service://health_state_monitor
expression://instantiate-governed-agent-worker,bound_to_service,service://agent_registry_service
expression://instantiate-governed-agent-worker,bound_to_service,service://agent_runtime_service
expression://instantiate-governed-agent-worker,bound_to_service,service://agent_static_guard
expression://instantiate-governed-agent-worker,bound_to_service,service://current_state_surface_auditor
expression://reconcile-deferred-work-after-dependency-recovery,bound_to_service,service://application_applet_packager
expression://reconcile-deferred-work-after-dependency-recovery,bound_to_service,service://dependency_failure_orchestrator
expression://reconcile-deferred-work-after-dependency-recovery,bound_to_service,service://failure_ledger
