service_id,owner_plane,promotion_state,executed,probe_name,evidence_path,outbox_manifest,boundary,recognize,execute,verify,write_receipt,readback,handoff
agent_static_guard,virtual_cpu,LOCAL_PASS,true,probe_agent_static_guard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/agent_static_guard.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/agent_static_guard.handoff.json,local static scan; not external certification,true,true,true,true,true,true
secret_boundary_guard,virtual_cpu,LOCAL_PASS,true,probe_secret_boundary_guard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/secret_boundary_guard.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/secret_boundary_guard.handoff.json,reject hard-coded secrets; target-host secret store still gated,true,true,true,true,true,true
zero_heap_compiler,virtual_cpu,UNSUPPORTED_IN_THIS_RUNTIME,false,probe_zero_heap_compiler,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/zero_heap_compiler.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/zero_heap_compiler.handoff.json,mechanical scanner; MISRA certification not claimed,true,false,false,true,true,true
peer_ack_verifier,virtual_cpu,PROVIDER_REQUIRED,false,probe_peer_ack_verifier,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/peer_ack_verifier.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/peer_ack_verifier.handoff.json,local HMAC envelope; remote attestation provider-gated,true,false,false,true,true,true
hyper_explicit_mesh_runtime,virtual_cpu,LOCAL_PASS,true,probe_hyper_explicit_mesh_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/hyper_explicit_mesh_runtime.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/hyper_explicit_mesh_runtime.handoff.json,local model/runtime; not physical hardware control,true,true,true,true,true,true
hemos_family_of_five_runtime,virtual_cpu,UNSUPPORTED_IN_THIS_RUNTIME,false,probe_hemos_family_of_five_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/hemos_family_of_five_runtime.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/hemos_family_of_five_runtime.handoff.json,local consensus model; not external human governance proof,true,false,false,true,true,true
indefinite_network_runtime,virtual_cpu_network_adapter,LOCAL_PASS,true,probe_indefinite_network_runtime,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/indefinite_network_runtime.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/indefinite_network_runtime.handoff.json,local route controller; not public internet tunnel claim,true,true,true,true,true,true
safe_asset_receipt_pipeline,virtual_cpu_volume_adapter,LOCAL_PASS,true,probe_safe_asset_receipt_pipeline,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/safe_asset_receipt_pipeline.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/safe_asset_receipt_pipeline.handoff.json,non-secret receipt pipeline; no plaintext private-key logging,true,true,true,true,true,true
virtual_gpu_hci_dashboard,virtual_gpu,TARGET_HOST_REQUIRED,false,probe_virtual_gpu_hci_dashboard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/virtual_gpu_hci_dashboard.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/virtual_gpu_hci_dashboard.handoff.json,renders and visualizes state; does not promote pass state,true,false,false,true,true,true
vfs_volume_custody,vfs,LOCAL_PASS,true,probe_vfs_volume_custody,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/vfs_volume_custody.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/vfs_volume_custody.handoff.json,append-only local custody trail; external archive/Drive provider-gated,true,true,true,true,true,true
orphan_service_reconciler,virtual_cpu,LOCAL_PASS,true,probe_orphan_service_reconciler,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/orphan_service_reconciler.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/orphan_service_reconciler.handoff.json,maps orphaned procedures to owners/gates; does not claim runtime execution where absent,true,true,true,true,true,true
mirror_update_lane,virtual_cpu_vfs_mirror,LOCAL_PASS,true,probe_mirror_update_lane,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/mirror_update_lane.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/mirror_update_lane.handoff.json,"mirrors research, development, standards and deployment artifacts; target-host/provider claims remain gated",true,true,true,true,true,true
agent_registry_service,virtual_cpu_governance_plane,LOCAL_PASS,true,probe_agent_registry_service,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/agent_registry_service.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/agent_registry_service.handoff.json,defines and validates agent identity/capability routing; only acceptance harness may promote local pass,true,true,true,true,true,true
agent_runtime_service,virtual_cpu_execution_plane,LOCAL_PASS,true,probe_agent_runtime_service,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/agent_runtime_service.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/agent_runtime_service.handoff.json,"authorizes bounded work orders against the agent registry, fails closed on denied actions, and emits receipts",true,true,true,true,true,true
btc_core_protocol_router,virtual_cpu_network_adapter,LOCAL_PASS,true,probe_btc_core_protocol_router,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/btc_core_protocol_router.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/btc_core_protocol_router.handoff.json,"bounded Bitcoin P2P serialization and optional read-only JSON-RPC; no hard-coded credentials, no private-key logging, no live trading claim",true,true,true,true,true,true
task_milestone_monitor,virtual_cpu_worker_governance,LOCAL_PASS,true,probe_task_milestone_monitor,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/task_milestone_monitor.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/task_milestone_monitor.handoff.json,tracks only receipt-backed completion for 100 planned tasks and triggers case-study checkpoints at 50 and 100 tasks; no telemetry-only or hash-as-proof completion,true,true,true,true,true,true
