task_id,group_id,ordinal,worker_agent,service_id,primary_standard,required_state,deployment_state,receipt_requirement,completion_state,completed_by,receipt_path
V98-G01_protocol_compliance-001,G01_protocol_compliance,1,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-002,G01_protocol_compliance,2,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-003,G01_protocol_compliance,3,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-004,G01_protocol_compliance,4,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-005,G01_protocol_compliance,5,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-006,G01_protocol_compliance,6,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-007,G01_protocol_compliance,7,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-008,G01_protocol_compliance,8,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-009,G01_protocol_compliance,9,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G01_protocol_compliance-010,G01_protocol_compliance,10,acceptance_harness_agent,protocol_compliance_pack,ISO_IEC_IEEE_12207_2026,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"acceptance receipt, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-001,G02_mirror_update_lane,1,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-002,G02_mirror_update_lane,2,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-003,G02_mirror_update_lane,3,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-004,G02_mirror_update_lane,4,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-005,G02_mirror_update_lane,5,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-006,G02_mirror_update_lane,6,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-007,G02_mirror_update_lane,7,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-008,G02_mirror_update_lane,8,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-009,G02_mirror_update_lane,9,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G02_mirror_update_lane-010,G02_mirror_update_lane,10,mirror_update_lane,mirror_update_lane,ISO_IEC_25010_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"mirror lane receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-001,G03_agent_registry,1,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-002,G03_agent_registry,2,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-003,G03_agent_registry,3,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-004,G03_agent_registry,4,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-005,G03_agent_registry,5,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-006,G03_agent_registry,6,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-007,G03_agent_registry,7,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-008,G03_agent_registry,8,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-009,G03_agent_registry,9,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G03_agent_registry-010,G03_agent_registry,10,acceptance_harness_agent,agent_registry_service,ISO_IEC_42001_2023,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"agent registry receipt, matrix, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-001,G04_agent_runtime_service,1,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-002,G04_agent_runtime_service,2,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-003,G04_agent_runtime_service,3,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-004,G04_agent_runtime_service,4,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-005,G04_agent_runtime_service,5,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-006,G04_agent_runtime_service,6,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-007,G04_agent_runtime_service,7,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-008,G04_agent_runtime_service,8,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-009,G04_agent_runtime_service,9,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G04_agent_runtime_service-010,G04_agent_runtime_service,10,acceptance_harness_agent,agent_runtime_service,NIST_SP_800_218_SSDF_1_1,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"work-order receipt, authorization result, ledger readback, outbox handoff",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-001,G05_btc_core_protocol_router,1,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-002,G05_btc_core_protocol_router,2,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-003,G05_btc_core_protocol_router,3,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-004,G05_btc_core_protocol_router,4,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-005,G05_btc_core_protocol_router,5,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-006,G05_btc_core_protocol_router,6,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-007,G05_btc_core_protocol_router,7,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-008,G05_btc_core_protocol_router,8,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-009,G05_btc_core_protocol_router,9,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G05_btc_core_protocol_router-010,G05_btc_core_protocol_router,10,virtual_cpu_executor,btc_core_protocol_router,BITCOIN_P2P_AND_JSON_RPC_BOUNDARY,LOCAL_PASS_OR_TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"P2P/RPC router receipt, no hard-coded credentials, optional bitcoind receipt",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-001,G06_mesh_scheduler_vcpu,1,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-002,G06_mesh_scheduler_vcpu,2,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-003,G06_mesh_scheduler_vcpu,3,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-004,G06_mesh_scheduler_vcpu,4,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-005,G06_mesh_scheduler_vcpu,5,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-006,G06_mesh_scheduler_vcpu,6,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-007,G06_mesh_scheduler_vcpu,7,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-008,G06_mesh_scheduler_vcpu,8,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-009,G06_mesh_scheduler_vcpu,9,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G06_mesh_scheduler_vcpu-010,G06_mesh_scheduler_vcpu,10,virtual_cpu_executor,mesh_scheduler,POSIX_1_2024_TARGET_HOST_BOUNDARY,LOCAL_PASS,LOCAL_OR_TARGET_HOST,"scheduler receipt, bounded action execution, ledger readback",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-001,G07_target_host_m3_launchd,1,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-002,G07_target_host_m3_launchd,2,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-003,G07_target_host_m3_launchd,3,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-004,G07_target_host_m3_launchd,4,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-005,G07_target_host_m3_launchd,5,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-006,G07_target_host_m3_launchd,6,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-007,G07_target_host_m3_launchd,7,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-008,G07_target_host_m3_launchd,8,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-009,G07_target_host_m3_launchd,9,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G07_target_host_m3_launchd-010,G07_target_host_m3_launchd,10,self_hosted_m3_runner,target_host_receipts,MACOS_LAUNCHD_TARGET_HOST_PROOF,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"self-hosted runner job log, launchctl status, iostat receipt",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-001,G08_virtual_gpu_dashboard,1,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-002,G08_virtual_gpu_dashboard,2,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-003,G08_virtual_gpu_dashboard,3,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-004,G08_virtual_gpu_dashboard,4,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-005,G08_virtual_gpu_dashboard,5,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-006,G08_virtual_gpu_dashboard,6,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-007,G08_virtual_gpu_dashboard,7,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-008,G08_virtual_gpu_dashboard,8,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-009,G08_virtual_gpu_dashboard,9,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G08_virtual_gpu_dashboard-010,G08_virtual_gpu_dashboard,10,virtual_gpu_projection_agent,virtual_gpu_hci_dashboard,OPEN_TELEMETRY_OBSERVABILITY_BOUNDARY,TARGET_HOST_REQUIRED,TARGET_HOST_GATED,"dashboard/frame-state readback, no render-as-proof claim",NOT_COMPLETED,,
V98-G09_provider_peer_ack_drive_simb-001,G09_provider_peer_ack_drive_simb,1,peer_ack_verifier,peer_ack_verifier,PROVIDER_ATTESTATION_GATE,PROVIDER_REQUIRED,PROVIDER_GATED,signed provider envelope or explicit provider failure receipt,NOT_COMPLETED,,
V98-G09_provider_peer_ack_drive_simb-002,G09_provider_peer_ack_drive_simb,2,peer_ack_verifier,peer_ack_verifier,PROVIDER_ATTESTATION_GATE,PROVIDER_REQUIRED,PROVIDER_GATED,signed provider envelope or explicit provider failure receipt,NOT_COMPLETED,,
V98-G09_provider_peer_ack_drive_simb-003,G09_provider_peer_ack_drive_simb,3,peer_ack_verifier,peer_ack_verifier,PROVIDER_ATTESTATION_GATE,PROVIDER_REQUIRED,PROVIDER_GATED,signed provider envelope or explicit provider failure receipt,NOT_COMPLETED,,
V98-G09_provider_peer_ack_drive_simb-004,G09_provider_peer_ack_drive_simb,4,peer_ack_verifier,peer_ack_verifier,PROVIDER_ATTESTATION_GATE,PROVIDER_REQUIRED,PROVIDER_GATED,signed provider envelope or explicit provider failure receipt,NOT_COMPLETED,,
